title; artist; yt views; genius views; lastfm views; genius/yt; lastfm/yt
Flashing Lights; Kanye West; 197837766; 1830238; 2256351; 0.00925121; 0.01140506
Bohemian Rhapsody - Remastered 2011; Queen; 2065514998; 11181230; 2243996; 0.00541329; 0.00108641
Stairway to Heaven - Remaster; Led Zeppelin; 179396025; 2418263; 1483746; 0.01348003; 0.00827079
Imagine - Remastered 2010; John Lennon; 343133631; 2262614; 978149; 0.00659397; 0.00285064
Smells Like Teen Spirit; Nirvana; 2191113583; 3768659; 4106963; 0.00171997; 0.00187437
Hotel California - 2013 Remaster; Eagles; 866686705; 4949636; 1260050; 0.00571099; 0.00145387
Billie Jean; Michael Jackson; 2190814098; 2667070; 3342176; 0.00121739; 0.00152554
Like a Rolling Stone; Bob Dylan; 63192822; 632145; 1597828; 0.01000343; 0.02528496
Hey Jude; The Beatles; 447471191; 1733969; 1350929; 0.00387504; 0.00301903
Respect; Aretha Franklin; 85000000; 635744; 1318926; 0.00747934; 0.01551678
What's Going On; Marvin Gaye; 14975655; 828898; 256; 0.05534970; 0.00001709
(I Can't Get No) Satisfaction - Mono; The Rolling Stones; 199411294; 10351; 663259; 0.00005191; 0.00332609
Good Vibrations - Remastered 2001; The Beach Boys; 18454306; 310812; 806485; 0.01684225; 0.04370172
Johnny B. Goode; Chuck Berry; 16807159; 351241; 339; 0.02089830; 0.00002017
Yesterday - Remastered 2009; The Beatles; 109773768; 3738037; 1110660; 0.03405219; 0.01011772
Let It Be - Remastered 2009; The Beatles; 218514440; 2193240; 1162798; 0.01003705; 0.00532138
Superstition - Single Version; Stevie Wonder; 178133083; 499358; 1132038; 0.00280329; 0.00635501
Purple Haze; Jimi Hendrix; 37141740; 169388; 1619224; 0.00456058; 0.04359580
A Day In The Life - Remastered 2009; The Beatles; 168226442; 1068460; 864536; 0.00635132; 0.00513912
Suspicious Minds; Elvis Presley; 121901228; 267974; 936041; 0.00219829; 0.00767868
My Generation - Stereo Version; The Who; 20262732; 151762; 905822; 0.00748971; 0.04470384
I Heard It Through The Grapevine; Marvin Gaye; 13240167; 217526; 947496; 0.01642925; 0.07156224
Blowin' in the Wind; Bob Dylan; 28458773; 763510; 218; 0.02682863; 0.00000766
Born to Run; Bruce Springsteen; 64923482; 846297; 1037037; 0.01303530; 0.01597322
Light My Fire; The Doors; 42940426; 503343; 1568509; 0.01172189; 0.03652756
God Only Knows; The Beach Boys; 8781028; 660017; 806836; 0.07516398; 0.09188400
Bridge Over Troubled Water; Simon & Garfunkel; 48821413; 467800; 845666; 0.00958186; 0.01732162
Every Breath You Take; The Police; 1685707143; 1175802; 2883496; 0.00069751; 0.00171056
Hallelujah; Jeff Buckley; 246334071; 1528345; 1562494; 0.00620436; 0.00634299
London Calling - Remastered; The Clash; 5382278; 594545; 1104529; 0.11046345; 0.20521590
Hound Dog; Elvis Presley; 39483552; 391777; 878120; 0.00992254; 0.02224015
Let's Stay Together; Al Green; 40052216; 337528; 200; 0.00842720; 0.00000499
Sweet Child O' Mine; Guns N' Roses; 1954267749; 3042938; 74; 0.00155707; 0.00000004
Thunder Road; Bruce Springsteen; 6231279; 863496; 589965; 0.13857444; 0.09467799
Waterloo Sunset; The Kinks; 17798137; 140315; 646273; 0.00788369; 0.03631127
Heroes - 2017 Remaster; David Bowie; 56303319; 1060361; 248482; 0.01883301; 0.00441327
I Will Always Love You; Whitney Houston; 1911149015; 2813237; 1046088; 0.00147201; 0.00054736
All Along the Watchtower; Jimi Hendrix; 274291451; 10351; 1771904; 0.00003774; 0.00645993
Dancing Queen; ABBA; 1106439016; 2735449; 2583143; 0.00247230; 0.00233465
I Walk the Line; Johnny Cash; 37000000; 893952; 1054732; 0.02416086; 0.02850627
Sympathy For The Devil - 50th Anniversary Edition; The Rolling Stones; 92525374; 1073837; 1220266; 0.01160587; 0.01318845
Gimme Shelter; The Rolling Stones; 145348498; 573153; 1651017; 0.00394330; 0.01135902
Wonderwall - Remastered; Oasis; 506013266; 3088555; 2751206; 0.00610370; 0.00543702
Losing My Religion; R.E.M.; 1444282733; 1153045; 2371722; 0.00079835; 0.00164215
Under the Bridge; Red Hot Chili Peppers; 347610307; 2051785; 2808446; 0.00590254; 0.00807929
Creep; Radiohead; 1481070540; 12441533; 4131879; 0.00840036; 0.00278979
No Woman No Cry; Bob Marley & The Wailers; 64491643; 1074744; 1; 0.01666486; 0.00000002
In My Life - Remastered 2009; The Beatles; 114446135; 2584640; 669789; 0.02258390; 0.00585244
Stand By Me; Ben E. King; 586000000; 2872244; 1691564; 0.00490144; 0.00288663
Papa's Got A Brand New Bag (Part 1) - Single Version; James Brown; 8395540; 28559; 131; 0.00340169; 0.00001560
A Change Is Gonna Come; Sam Cooke; 95856993; 773943; 668899; 0.00807393; 0.00697809
Tutti Frutti; Little Richard; 1506189; 239708; 480638; 0.15914869; 0.31910869
Tangled up in Blue; Bob Dylan; 28807514; 385381; 768206; 0.01337779; 0.02666686
Heartbreak Hotel; Elvis Presley; 31000000; 161367; 633934; 0.00520539; 0.02044948
When Doves Cry; Prince; 137339532; 342545; 962789; 0.00249415; 0.00701028
Family Affair - Single Version; Sly & The Family Stone; 9000000; 67319; 1; 0.00747989; 0.00000011
Whole Lotta Love - 1990 Remaster; Led Zeppelin; 264363481; 454466; 1079666; 0.00171910; 0.00408402
California Gurls; Katy Perry; 826638175; 2042636; 679975; 0.00247102; 0.00082258
Rolling in the Deep; Adele; 2868741941; 5119093; 2644090; 0.00178444; 0.00092169
Someone Like You; Adele; 2511655396; 2535545; 2170602; 0.00100951; 0.00086421
Shape of You; Ed Sheeran; 6741061748; 15761477; 1391014; 0.00233813; 0.00020635
Uptown Funk (feat. Bruno Mars); Mark Ronson; 5832338263; 3162553; 539554; 0.00054224; 0.00009251
Blinding Lights; The Weeknd; 1035802315; 3151764; 2380489; 0.00304282; 0.00229821
Dance Monkey; Tones And I; 2295501209; 2468515; 766356; 0.00107537; 0.00033385
Perfect; Ed Sheeran; 4170664870; 7926199; 1079613; 0.00190046; 0.00025886
Thinking out Loud; Ed Sheeran; 4012423261; 2422374; 1268430; 0.00060372; 0.00031613
Despacito; Luis Fonsi; 9042451341; 4607903; 626783; 0.00050959; 0.00006932
Closer; The Chainsmokers; 509728506; 7115013; 1441838; 0.01395844; 0.00282864
Sunflower - Spider-Man: Into the Spider-Verse; Post Malone; 2989522558; 3345542; 34833; 0.00111909; 0.00001165
Señorita; Shawn Mendes; 1988673544; 3159876; 969488; 0.00158894; 0.00048750
bad guy; Billie Eilish; 1348636207; 4174364; 1681476; 0.00309525; 0.00124680
Havana (feat. Young Thug); Camila Cabello; 1141144734; 4242516; 291661; 0.00371777; 0.00025559
